epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,137.04,0.87557,0.80139,0.95108,0.87276,0.86968,0.8944,0.69394,0.88374,0.94008,0.97489,0.000643888,0.000643888,0.000643888
44,139.95,0.86509,0.80186,0.9481,0.87351,0.84367,0.88723,0.68995,0.87571,0.93282,0.97107,0.000643338,0.000643338,0.000643338
45,142.884,0.86317,0.7914,0.941,0.87936,0.86669,0.89225,0.71142,0.82693,0.90822,0.95328,0.000642788,0.000642788,0.000642788
46,145.876,0.83336,0.77615,0.93202,0.87086,0.85771,0.89171,0.70138,0.87196,1.02924,0.95792,0.000642238,0.000642238,0.000642238
47,148.764,0.86404,0.80422,0.94218,0.87144,0.84046,0.88476,0.69641,0.85411,1.0309,0.95102,0.000641687,0.000641687,0.000641687
48,151.64,0.79861,0.75264,0.9175,0.86626,0.85526,0.88619,0.70944,0.8139,0.87475,0.94448,0.000641137,0.000641137,0.000641137
49,154.5,0.81229,0.78433,0.92712,0.87604,0.87324,0.89512,0.70772,0.83275,0.75466,0.94932,0.000640587,0.000640587,0.000640587
50,157.41,0.82353,0.76638,0.92508,0.8844,0.85483,0.88497,0.69903,0.83468,0.73695,0.95695,0.000640037,0.000640037,0.000640037
51,160.351,0.81717,0.76869,0.93084,0.87545,0.87726,0.89863,0.70233,0.82992,0.72569,0.95509,0.000639486,0.000639486,0.000639486
52,163.253,0.84928,0.77882,0.9343,0.87789,0.86307,0.90136,0.702,0.83433,0.75306,0.96309,0.000638936,0.000638936,0.000638936
53,166.165,0.82062,0.76016,0.92245,0.87328,0.85979,0.90086,0.71299,0.81798,0.85342,0.95472,0.000638386,0.000638386,0.000638386
54,169.173,0.82398,0.78103,0.92451,0.89204,0.89089,0.9067,0.7208,0.80921,0.75835,0.95037,0.000637835,0.000637835,0.000637835
55,172.146,0.7968,0.7499,0.93182,0.89041,0.87005,0.9082,0.73001,0.81037,0.75131,0.94647,0.000637285,0.000637285,0.000637285
