epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,235.907,0.77372,0.69794,0.91442,0.88599,0.85703,0.8974,0.72417,0.78813,0.75921,0.94184,0.000629031,0.000629031,0.000629031
71,238.772,0.79528,0.7123,0.91604,0.88249,0.86507,0.90555,0.73072,0.79061,0.75473,0.94258,0.000628481,0.000628481,0.000628481
72,241.708,0.78269,0.6907,0.9128,0.88733,0.8632,0.90499,0.73013,0.78444,0.7276,0.93975,0.00062793,0.00062793,0.00062793
73,244.583,0.73597,0.67761,0.90893,0.90293,0.8809,0.91285,0.74276,0.77033,0.68185,0.93859,0.00062738,0.00062738,0.00062738
74,247.568,0.78225,0.69984,0.913,0.89183,0.87068,0.90702,0.72968,0.77213,0.69553,0.93535,0.00062683,0.00062683,0.00062683
75,250.471,0.74249,0.6817,0.90171,0.88877,0.8739,0.90158,0.73544,0.77539,0.77058,0.94098,0.00062628,0.00062628,0.00062628
76,253.393,0.79054,0.69862,0.91716,0.89133,0.87595,0.90352,0.728,0.81189,0.74263,0.96136,0.000625729,0.000625729,0.000625729
77,256.308,0.77453,0.6926,0.91209,0.90687,0.87366,0.90957,0.74561,0.76042,0.69104,0.93663,0.000625179,0.000625179,0.000625179
78,259.314,0.74423,0.6715,0.90523,0.88479,0.86655,0.89994,0.72847,0.78376,0.67144,0.9464,0.000624629,0.000624629,0.000624629
79,262.205,0.76616,0.67659,0.90919,0.88628,0.85387,0.90123,0.73403,0.76787,0.66775,0.9438,0.000624079,0.000624079,0.000624079
80,265.123,0.73052,0.6535,0.89553,0.89341,0.84927,0.90889,0.73863,0.76174,0.66188,0.94345,0.000623528,0.000623528,0.000623528
81,268.012,0.74043,0.65944,0.90532,0.89182,0.83791,0.90766,0.73365,0.76199,0.68626,0.93723,0.000622978,0.000622978,0.000622978
82,270.895,0.74367,0.67205,0.90469,0.89561,0.84015,0.90081,0.74748,0.73291,0.66089,0.93406,0.000622428,0.000622428,0.000622428
83,273.861,0.7221,0.66418,0.90948,0.88224,0.84468,0.89353,0.73737,0.74781,0.68648,0.93606,0.000621877,0.000621877,0.000621877
84,276.765,0.7445,0.65842,0.89577,0.88442,0.81518,0.88567,0.73018,0.75881,0.71719,0.94171,0.000621327,0.000621327,0.000621327
85,279.654,0.74083,0.65625,0.902,0.8626,0.84358,0.88881,0.7311,0.78296,0.69226,0.94399,0.000620777,0.000620777,0.000620777
86,282.586,0.7635,0.6584,0.90504,0.8751,0.85145,0.90055,0.73647,0.75662,0.67032,0.94315,0.000620227,0.000620227,0.000620227
87,285.498,0.75593,0.66998,0.90017,0.88604,0.86628,0.90112,0.7354,0.76189,0.66668,0.94188,0.000619676,0.000619676,0.000619676
88,288.405,0.72295,0.65198,0.89828,0.86954,0.87901,0.90119,0.73136,0.76001,0.67575,0.94438,0.000619126,0.000619126,0.000619126
89,291.328,0.7183,0.63882,0.88734,0.8842,0.85834,0.89825,0.73297,0.75628,0.66522,0.9401,0.000618576,0.000618576,0.000618576
90,294.217,0.726,0.64435,0.89729,0.84222,0.86475,0.90049,0.73451,0.75668,0.69132,0.94196,0.000618026,0.000618026,0.000618026
91,297.136,0.72461,0.64183,0.89275,0.84316,0.86185,0.90455,0.74113,0.75478,0.70186,0.93966,0.000617475,0.000617475,0.000617475
92,300.03,0.72696,0.64318,0.8944,0.85802,0.87117,0.90461,0.74116,0.75327,0.65728,0.94319,0.000616925,0.000616925,0.000616925
93,302.922,0.70409,0.63591,0.89631,0.85523,0.88168,0.9061,0.73904,0.7627,0.65197,0.94279,0.000616375,0.000616375,0.000616375
94,305.813,0.7407,0.65064,0.89707,0.86961,0.85197,0.90337,0.73534,0.7615,0.70133,0.9466,0.000615824,0.000615824,0.000615824
95,308.719,0.73665,0.65965,0.8979,0.87833,0.85194,0.90646,0.74251,0.76124,0.66078,0.95191,0.000615274,0.000615274,0.000615274
96,311.656,0.74506,0.63486,0.89675,0.87585,0.86892,0.91748,0.74821,0.7707,0.73787,0.94402,0.000614724,0.000614724,0.000614724
97,314.628,0.71424,0.63222,0.89501,0.88468,0.86264,0.9157,0.74588,0.74823,0.77314,0.94131,0.000614174,0.000614174,0.000614174
98,317.507,0.7049,0.63132,0.89723,0.89882,0.85878,0.91315,0.74603,0.75513,0.66448,0.93996,0.000613623,0.000613623,0.000613623
99,320.398,0.70496,0.63294,0.8934,0.88874,0.85455,0.90391,0.74363,0.76137,0.65399,0.9414,0.000613073,0.000613073,0.000613073
100,323.306,0.70315,0.62875,0.88369,0.88932,0.86195,0.89851,0.7433,0.74602,0.66986,0.93898,0.000612523,0.000612523,0.000612523
101,326.253,0.74651,0.64318,0.89758,0.89193,0.85885,0.89876,0.7312,0.74524,0.65923,0.94101,0.000611972,0.000611972,0.000611972
102,329.158,0.71079,0.62047,0.89564,0.88934,0.86058,0.89931,0.72301,0.76883,0.69975,0.94455,0.000611422,0.000611422,0.000611422
103,332.076,0.76204,0.65098,0.89414,0.88303,0.86878,0.89814,0.71623,0.81118,0.74296,0.95818,0.000610872,0.000610872,0.000610872
104,334.982,0.71426,0.63941,0.89834,0.8784,0.86343,0.89112,0.72666,0.76661,0.70459,0.94948,0.000610322,0.000610322,0.000610322
105,337.86,0.73382,0.62196,0.89322,0.85198,0.88292,0.89049,0.72738,0.76472,0.71742,0.94499,0.000609771,0.000609771,0.000609771
106,340.75,0.73281,0.61652,0.89025,0.86667,0.86567,0.87973,0.70288,0.83161,0.73951,0.95434,0.000609221,0.000609221,0.000609221
107,343.656,0.70858,0.62367,0.88054,0.88527,0.87364,0.88674,0.72775,0.72702,0.67141,0.93202,0.000608671,0.000608671,0.000608671
108,346.557,0.70801,0.61187,0.88754,0.89231,0.86082,0.89254,0.73648,0.7314,0.67478,0.93392,0.000608121,0.000608121,0.000608121
109,349.498,0.71209,0.61447,0.88966,0.86251,0.87855,0.89084,0.71478,0.78569,0.69348,0.94302,0.00060757,0.00060757,0.00060757
110,352.431,0.70661,0.59935,0.89066,0.86055,0.88863,0.89039,0.73702,0.72618,0.64875,0.93138,0.00060702,0.00060702,0.00060702
111,355.385,0.72976,0.62394,0.89557,0.87822,0.8762,0.8947,0.73819,0.73398,0.63316,0.93905,0.00060647,0.00060647,0.00060647
112,358.293,0.69794,0.59877,0.87677,0.87198,0.85341,0.89539,0.72857,0.77441,0.66442,0.94323,0.000605919,0.000605919,0.000605919
113,361.193,0.73074,0.62986,0.89931,0.88588,0.86622,0.89873,0.74273,0.73238,0.68277,0.93479,0.000605369,0.000605369,0.000605369
114,364.117,0.6596,0.60749,0.89085,0.89885,0.86536,0.89788,0.73927,0.7455,0.63626,0.9458,0.000604819,0.000604819,0.000604819
115,367.038,0.68285,0.59629,0.88109,0.90343,0.86739,0.90038,0.74599,0.73654,0.62518,0.93658,0.000604269,0.000604269,0.000604269
116,369.958,0.66753,0.57946,0.87763,0.88258,0.88284,0.89929,0.74943,0.72574,0.62421,0.93253,0.000603718,0.000603718,0.000603718
117,372.874,0.67942,0.58362,0.88022,0.87406,0.87248,0.90092,0.74972,0.73072,0.63703,0.93058,0.000603168,0.000603168,0.000603168
118,375.774,0.68621,0.61058,0.87836,0.88536,0.85347,0.89678,0.75193,0.72981,0.64923,0.93958,0.000602618,0.000602618,0.000602618
119,378.752,0.67858,0.5904,0.88169,0.88704,0.84846,0.89385,0.7434,0.74364,0.67228,0.94213,0.000602068,0.000602068,0.000602068
120,381.654,0.68009,0.61079,0.88578,0.86733,0.86057,0.889,0.74474,0.71775,0.63869,0.92922,0.000601517,0.000601517,0.000601517
121,384.565,0.71561,0.61411,0.88476,0.88594,0.84423,0.89834,0.74137,0.72755,0.63507,0.93294,0.000600967,0.000600967,0.000600967
122,387.462,0.68674,0.60275,0.87754,0.88044,0.86819,0.90308,0.74286,0.72315,0.64358,0.92931,0.000600417,0.000600417,0.000600417
123,390.381,0.68181,0.62966,0.89003,0.88755,0.86107,0.89321,0.74003,0.73952,0.69446,0.93128,0.000599866,0.000599866,0.000599866
124,393.248,0.69351,0.60589,0.88357,0.86337,0.86692,0.89305,0.73509,0.74211,0.65516,0.9339,0.000599316,0.000599316,0.000599316
125,396.144,0.66648,0.58342,0.88559,0.88639,0.85296,0.8976,0.73747,0.74885,0.65094,0.93007,0.000598766,0.000598766,0.000598766
126,399.055,0.732,0.60913,0.88946,0.89658,0.8547,0.90205,0.74051,0.72979,0.65446,0.93265,0.000598216,0.000598216,0.000598216
127,401.937,0.67127,0.59507,0.87781,0.88125,0.84948,0.9051,0.74219,0.72767,0.63683,0.93253,0.000597665,0.000597665,0.000597665
128,404.821,0.66186,0.5902,0.87916,0.89793,0.83033,0.90331,0.7414,0.73123,0.64312,0.92901,0.000597115,0.000597115,0.000597115
129,407.735,0.70456,0.62143,0.88472,0.89011,0.83526,0.89665,0.74605,0.72366,0.63573,0.93476,0.000596565,0.000596565,0.000596565
130,410.627,0.64464,0.58794,0.88043,0.8843,0.84145,0.89574,0.74321,0.73258,0.645,0.9361,0.000596015,0.000596015,0.000596015
131,413.528,0.69108,0.60413,0.87668,0.8945,0.84308,0.8952,0.73077,0.75287,0.65805,0.945,0.000595464,0.000595464,0.000595464
132,416.432,0.68521,0.58921,0.87548,0.9001,0.85038,0.8891,0.74082,0.72349,0.63179,0.93931,0.000594914,0.000594914,0.000594914
133,419.378,0.67735,0.58767,0.88563,0.87103,0.89079,0.90327,0.74795,0.71451,0.62017,0.93086,0.000594364,0.000594364,0.000594364
134,422.304,0.67073,0.57218,0.87465,0.88609,0.87461,0.90159,0.74694,0.71511,0.62025,0.92815,0.000593813,0.000593813,0.000593813
135,425.234,0.67108,0.58745,0.87712,0.88986,0.85687,0.90593,0.75395,0.71412,0.63646,0.92749,0.000593263,0.000593263,0.000593263
136,428.244,0.6681,0.57713,0.87116,0.88768,0.86194,0.89671,0.74917,0.70967,0.62992,0.92502,0.000592713,0.000592713,0.000592713
137,431.151,0.64808,0.57809,0.87847,0.86992,0.87959,0.9015,0.75484,0.71411,0.63782,0.92635,0.000592163,0.000592163,0.000592163
138,434.164,0.68478,0.58479,0.8772,0.87738,0.87939,0.90814,0.74733,0.71512,0.6127,0.92497,0.000591612,0.000591612,0.000591612
139,437.061,0.67749,0.58225,0.88472,0.8798,0.87637,0.90641,0.75369,0.71017,0.60308,0.92237,0.000591062,0.000591062,0.000591062
140,439.966,0.64768,0.56907,0.87709,0.88877,0.88984,0.90975,0.75558,0.69483,0.60308,0.91745,0.000590512,0.000590512,0.000590512
141,442.948,0.64812,0.5652,0.87208,0.8908,0.89126,0.90142,0.75198,0.68867,0.61127,0.91887,0.000589961,0.000589961,0.000589961
142,445.867,0.64627,0.56221,0.87242,0.88802,0.88101,0.8906,0.74362,0.71811,0.63134,0.92859,0.000589411,0.000589411,0.000589411
143,448.758,0.63503,0.57673,0.87485,0.88826,0.86525,0.89727,0.75177,0.71271,0.63983,0.92205,0.000588861,0.000588861,0.000588861
144,451.691,0.65977,0.57168,0.86981,0.8992,0.86711,0.90337,0.75506,0.70174,0.61624,0.9237,0.000588311,0.000588311,0.000588311
145,454.641,0.64543,0.55492,0.86648,0.87223,0.86953,0.90769,0.75534,0.70453,0.63459,0.92379,0.00058776,0.00058776,0.00058776
146,457.589,0.6627,0.57889,0.88486,0.8726,0.88576,0.90258,0.74538,0.71857,0.61949,0.93244,0.00058721,0.00058721,0.00058721
147,460.497,0.65258,0.5724,0.87841,0.8725,0.86792,0.90491,0.74842,0.71338,0.61482,0.93319,0.00058666,0.00058666,0.00058666
148,463.357,0.64946,0.56987,0.87515,0.88182,0.87818,0.90205,0.7404,0.71564,0.61637,0.92555,0.00058611,0.00058611,0.00058611
149,466.239,0.64711,0.5635,0.86742,0.88488,0.87898,0.89365,0.74252,0.69527,0.62475,0.92306,0.000585559,0.000585559,0.000585559
150,469.135,0.66809,0.5764,0.86957,0.88339,0.87837,0.89277,0.74215,0.70143,0.61383,0.9272,0.000585009,0.000585009,0.000585009
151,472.036,0.64945,0.55956,0.87259,0.8834,0.87754,0.89775,0.75107,0.69259,0.60743,0.92724,0.000584459,0.000584459,0.000584459
152,474.964,0.66374,0.56438,0.87025,0.87991,0.87671,0.90172,0.75106,0.69374,0.60056,0.92638,0.000583908,0.000583908,0.000583908
153,477.909,0.66652,0.57119,0.86891,0.88929,0.87784,0.91547,0.75032,0.7031,0.59888,0.92806,0.000583358,0.000583358,0.000583358
154,480.848,0.65927,0.55113,0.87116,0.88453,0.87648,0.91415,0.7549,0.70431,0.59036,0.92422,0.000582808,0.000582808,0.000582808
155,483.725,0.63773,0.56888,0.86568,0.89616,0.85985,0.89679,0.74896,0.71712,0.63617,0.92735,0.000582258,0.000582258,0.000582258
156,486.679,0.66931,0.57297,0.8714,0.8938,0.8686,0.90444,0.75723,0.69126,0.6372,0.92435,0.000581707,0.000581707,0.000581707
157,489.69,0.65479,0.5624,0.86667,0.89473,0.85904,0.90202,0.75068,0.70199,0.61757,0.93368,0.000581157,0.000581157,0.000581157
158,492.612,0.64853,0.56216,0.86615,0.90084,0.85222,0.90513,0.75018,0.70149,0.61372,0.92734,0.000580607,0.000580607,0.000580607
159,495.534,0.64952,0.56393,0.87396,0.89282,0.85366,0.90029,0.75411,0.69563,0.63478,0.92159,0.000580057,0.000580057,0.000580057
160,498.459,0.6355,0.5717,0.87053,0.90335,0.84885,0.89346,0.74643,0.70712,0.69815,0.92455,0.000579506,0.000579506,0.000579506
161,501.392,0.65335,0.55655,0.86247,0.88923,0.83639,0.88759,0.74484,0.71019,0.66281,0.93074,0.000578956,0.000578956,0.000578956
162,504.331,0.64334,0.54772,0.86538,0.86387,0.87661,0.8938,0.74349,0.7051,0.6232,0.92437,0.000578406,0.000578406,0.000578406
163,507.226,0.6285,0.5444,0.86842,0.88931,0.86039,0.89972,0.7442,0.69495,0.60587,0.92277,0.000577855,0.000577855,0.000577855
164,510.13,0.62544,0.5496,0.86461,0.88123,0.85474,0.89262,0.74739,0.70308,0.6127,0.92613,0.000577305,0.000577305,0.000577305
165,513.069,0.66296,0.55578,0.86535,0.87501,0.88481,0.89084,0.74597,0.72614,0.62809,0.93713,0.000576755,0.000576755,0.000576755
166,515.984,0.62523,0.53987,0.85728,0.87175,0.88009,0.89229,0.74491,0.71403,0.62543,0.93227,0.000576205,0.000576205,0.000576205
167,518.884,0.62205,0.54147,0.86567,0.88708,0.8771,0.90099,0.73931,0.725,0.61864,0.93436,0.000575654,0.000575654,0.000575654
