epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,171.192,0.78799,0.72504,0.91537,0.88073,0.88051,0.89706,0.71854,0.78544,0.72159,0.93862,0.000416075,0.000416075,0.000416075
59,174.113,0.78852,0.727,0.91003,0.89454,0.87226,0.88593,0.71005,0.80253,0.71657,0.94809,0.000411672,0.000411672,0.000411672
60,177.012,0.78365,0.74337,0.91972,0.88486,0.8864,0.88673,0.70891,0.80234,0.77132,0.94697,0.00040727,0.00040727,0.00040727
61,179.925,0.78158,0.74001,0.92476,0.90407,0.84602,0.88466,0.71179,0.80528,0.79763,0.94593,0.000402868,0.000402868,0.000402868
62,182.824,0.78437,0.72591,0.91008,0.87797,0.8487,0.88372,0.71101,0.80121,0.77285,0.94391,0.000398466,0.000398466,0.000398466
63,185.721,0.81603,0.73973,0.91794,0.8863,0.84063,0.88982,0.71075,0.82092,0.75088,0.94958,0.000394064,0.000394064,0.000394064
64,188.679,0.81621,0.73627,0.91747,0.88058,0.87849,0.89489,0.7098,0.81038,0.6976,0.94906,0.000389661,0.000389661,0.000389661
65,191.613,0.78724,0.73953,0.91732,0.8835,0.87225,0.89803,0.72146,0.7854,0.68964,0.94144,0.000385259,0.000385259,0.000385259
66,194.546,0.77248,0.71235,0.914,0.86819,0.89039,0.90714,0.72351,0.79643,0.7122,0.94714,0.000380857,0.000380857,0.000380857
67,197.475,0.81401,0.73901,0.92498,0.89641,0.85492,0.89786,0.72617,0.78489,0.68416,0.9481,0.000376455,0.000376455,0.000376455
68,200.433,0.75117,0.69495,0.90983,0.90466,0.84969,0.89827,0.73156,0.77369,0.67541,0.93907,0.000372053,0.000372053,0.000372053
69,203.415,0.75685,0.69278,0.90904,0.90519,0.84723,0.89582,0.72747,0.77668,0.67237,0.94015,0.00036765,0.00036765,0.00036765
70,206.333,0.76188,0.70198,0.91279,0.89665,0.86101,0.89396,0.72808,0.77473,0.67613,0.93973,0.000363248,0.000363248,0.000363248
71,209.24,0.78899,0.71459,0.91541,0.89066,0.85944,0.89618,0.72892,0.77143,0.71059,0.94066,0.000358846,0.000358846,0.000358846
72,212.189,0.76414,0.70042,0.90729,0.91169,0.86264,0.90629,0.73163,0.78574,0.72302,0.94205,0.000354444,0.000354444,0.000354444
73,215.177,0.74609,0.69844,0.91304,0.90156,0.86399,0.88995,0.72411,0.77203,0.69517,0.93721,0.000350042,0.000350042,0.000350042
74,218.083,0.76538,0.69774,0.91027,0.9032,0.86467,0.88093,0.72473,0.76368,0.68258,0.93633,0.000345639,0.000345639,0.000345639
75,220.991,0.72532,0.68456,0.89856,0.89632,0.85715,0.88998,0.72723,0.76941,0.71061,0.93899,0.000341237,0.000341237,0.000341237
76,223.922,0.77964,0.70264,0.91489,0.88253,0.85321,0.88886,0.72659,0.7715,0.71798,0.93772,0.000336835,0.000336835,0.000336835
77,226.855,0.76462,0.70183,0.90941,0.88635,0.87114,0.8976,0.73888,0.75686,0.71346,0.93412,0.000332433,0.000332433,0.000332433
78,229.854,0.74543,0.68893,0.90387,0.88717,0.87501,0.90253,0.73868,0.75464,0.66418,0.93518,0.000328031,0.000328031,0.000328031
79,232.826,0.7436,0.6887,0.90537,0.89627,0.87153,0.90337,0.74297,0.74258,0.65594,0.93377,0.000323628,0.000323628,0.000323628
80,235.827,0.69963,0.65155,0.8897,0.88685,0.87859,0.90428,0.74126,0.74275,0.65062,0.93233,0.000319226,0.000319226,0.000319226
81,238.724,0.72201,0.65824,0.90095,0.88277,0.88486,0.90934,0.73606,0.75111,0.66343,0.93319,0.000314824,0.000314824,0.000314824
82,241.619,0.74007,0.68091,0.90251,0.88836,0.88506,0.90686,0.74547,0.74555,0.65874,0.93329,0.000310422,0.000310422,0.000310422
83,244.56,0.71758,0.67541,0.90714,0.88523,0.88177,0.90726,0.74813,0.74685,0.66832,0.93069,0.00030602,0.00030602,0.00030602
84,247.543,0.74726,0.66482,0.89519,0.89429,0.86045,0.90262,0.74446,0.74669,0.6746,0.93126,0.000301617,0.000301617,0.000301617
85,250.454,0.72431,0.66801,0.89973,0.87762,0.87076,0.90015,0.74011,0.74399,0.65854,0.93193,0.000297215,0.000297215,0.000297215
86,253.393,0.74664,0.66527,0.9009,0.88111,0.86827,0.9036,0.74101,0.73453,0.66064,0.93056,0.000292813,0.000292813,0.000292813
87,256.326,0.75177,0.67704,0.89773,0.86446,0.89384,0.90856,0.74075,0.73716,0.64878,0.93158,0.000288411,0.000288411,0.000288411
88,259.245,0.7186,0.65272,0.89656,0.8955,0.87216,0.91284,0.74282,0.73988,0.64289,0.93108,0.000284009,0.000284009,0.000284009
89,262.171,0.71261,0.64825,0.88609,0.89526,0.87544,0.91227,0.74477,0.73044,0.64089,0.93017,0.000279606,0.000279606,0.000279606
90,265.085,0.72102,0.66281,0.89785,0.90236,0.87025,0.91988,0.75443,0.73677,0.64887,0.93082,0.000275204,0.000275204,0.000275204
91,268.074,0.71288,0.65749,0.8908,0.89561,0.86713,0.91866,0.75442,0.72748,0.64228,0.93349,0.000270802,0.000270802,0.000270802
92,270.987,0.71794,0.65482,0.8931,0.89366,0.87035,0.90917,0.74824,0.72938,0.6307,0.93512,0.0002664,0.0002664,0.0002664
93,273.901,0.6789,0.63401,0.89223,0.88702,0.87598,0.9074,0.74324,0.73688,0.63353,0.93093,0.000261998,0.000261998,0.000261998
94,276.821,0.73789,0.66192,0.89759,0.89508,0.85047,0.89526,0.73766,0.73297,0.65418,0.92991,0.000257595,0.000257595,0.000257595
95,279.735,0.73397,0.66177,0.89753,0.88407,0.87462,0.89893,0.73486,0.74214,0.64758,0.93704,0.000253193,0.000253193,0.000253193
96,282.675,0.7416,0.66236,0.89654,0.89248,0.8864,0.90558,0.74031,0.72992,0.63611,0.93076,0.000248791,0.000248791,0.000248791
97,285.597,0.70845,0.63613,0.8956,0.88641,0.88776,0.90236,0.73605,0.74945,0.64973,0.93076,0.000244389,0.000244389,0.000244389
98,288.495,0.70612,0.6351,0.89547,0.88415,0.88234,0.90362,0.74521,0.71709,0.64733,0.92885,0.000239987,0.000239987,0.000239987
99,291.417,0.68917,0.63423,0.88957,0.89163,0.87267,0.90243,0.74544,0.72078,0.63599,0.92815,0.000235584,0.000235584,0.000235584
100,294.341,0.70674,0.63012,0.88529,0.89207,0.87106,0.90529,0.75313,0.71492,0.63096,0.92747,0.000231182,0.000231182,0.000231182
101,297.283,0.75005,0.65825,0.89695,0.88513,0.87195,0.8959,0.73748,0.73383,0.63815,0.93983,0.00022678,0.00022678,0.00022678
102,300.208,0.68323,0.61752,0.89189,0.88418,0.88949,0.89647,0.74482,0.7223,0.63478,0.93587,0.000222378,0.000222378,0.000222378
103,303.142,0.71199,0.63347,0.88338,0.88679,0.89247,0.90031,0.74751,0.72708,0.64057,0.93522,0.000217976,0.000217976,0.000217976
104,306.084,0.67662,0.63099,0.88912,0.8907,0.89097,0.89615,0.73921,0.73581,0.63163,0.94114,0.000213573,0.000213573,0.000213573
105,308.976,0.68135,0.62485,0.88564,0.89414,0.88179,0.90465,0.74726,0.71977,0.61973,0.93293,0.000209171,0.000209171,0.000209171
106,311.911,0.70831,0.62018,0.88593,0.88663,0.88068,0.9071,0.75208,0.72689,0.62561,0.93142,0.000204769,0.000204769,0.000204769
107,314.825,0.67658,0.62335,0.87643,0.88816,0.88144,0.90578,0.74413,0.75186,0.63368,0.94272,0.000200367,0.000200367,0.000200367
108,317.759,0.67706,0.61532,0.88612,0.89625,0.87119,0.90472,0.75278,0.71719,0.63152,0.93215,0.000195965,0.000195965,0.000195965
109,320.721,0.69903,0.62763,0.8876,0.89638,0.87556,0.90467,0.75525,0.71276,0.63555,0.92905,0.000191562,0.000191562,0.000191562
110,323.668,0.64909,0.60136,0.87995,0.88978,0.87855,0.9069,0.75508,0.71388,0.62165,0.92647,0.00018716,0.00018716,0.00018716
111,326.644,0.68884,0.62593,0.8895,0.88838,0.86867,0.90874,0.75912,0.70711,0.6239,0.92203,0.000182758,0.000182758,0.000182758
112,329.661,0.67459,0.60445,0.87317,0.8903,0.87095,0.90492,0.75434,0.70877,0.62238,0.92591,0.000178356,0.000178356,0.000178356
113,332.573,0.69426,0.63097,0.89368,0.87665,0.87266,0.90225,0.7526,0.70798,0.63694,0.92912,0.000173954,0.000173954,0.000173954
114,335.512,0.64614,0.60841,0.88859,0.88566,0.87757,0.90209,0.75465,0.70919,0.6438,0.92882,0.000169551,0.000169551,0.000169551
115,338.45,0.68234,0.62002,0.88182,0.89678,0.87177,0.89675,0.74924,0.71743,0.63606,0.92921,0.000165149,0.000165149,0.000165149
116,341.391,0.66486,0.60219,0.88059,0.88453,0.87657,0.89774,0.74938,0.71742,0.62465,0.92835,0.000160747,0.000160747,0.000160747
117,344.323,0.66437,0.5951,0.88227,0.88635,0.87455,0.89986,0.75131,0.71402,0.62486,0.92508,0.000156345,0.000156345,0.000156345
118,347.239,0.6718,0.61982,0.8794,0.88849,0.87444,0.90071,0.75023,0.71543,0.62111,0.92795,0.000151943,0.000151943,0.000151943
119,350.146,0.67016,0.60009,0.88462,0.89602,0.87028,0.90228,0.75154,0.7159,0.62121,0.92978,0.00014754,0.00014754,0.00014754
120,353.055,0.66601,0.61391,0.88788,0.90111,0.87437,0.90061,0.75101,0.71066,0.62851,0.92629,0.000143138,0.000143138,0.000143138
121,355.971,0.71227,0.62636,0.88736,0.89512,0.87383,0.90291,0.75309,0.70836,0.626,0.92533,0.000138736,0.000138736,0.000138736
122,358.888,0.66674,0.60542,0.87772,0.89313,0.87676,0.89968,0.75262,0.72245,0.6296,0.93094,0.000134334,0.000134334,0.000134334
123,361.828,0.66403,0.63129,0.89191,0.88517,0.88166,0.89973,0.75471,0.71618,0.62915,0.92733,0.000129932,0.000129932,0.000129932
124,364.721,0.66109,0.59859,0.88032,0.89157,0.88381,0.90001,0.75306,0.71307,0.62123,0.92597,0.000125529,0.000125529,0.000125529
125,367.623,0.63343,0.58625,0.88073,0.89478,0.88147,0.90084,0.75281,0.71009,0.61424,0.92369,0.000121127,0.000121127,0.000121127
126,370.555,0.68618,0.61239,0.88658,0.89217,0.87761,0.90056,0.75555,0.70218,0.61717,0.92453,0.000116725,0.000116725,0.000116725
127,373.455,0.64436,0.59222,0.87724,0.88035,0.87982,0.89576,0.75154,0.70153,0.62465,0.92615,0.000112323,0.000112323,0.000112323
128,376.357,0.63953,0.59026,0.87789,0.8905,0.87294,0.8998,0.75885,0.70108,0.61556,0.92432,0.000107921,0.000107921,0.000107921
129,379.3,0.67621,0.61953,0.88316,0.88829,0.87425,0.89933,0.75668,0.7011,0.61408,0.92396,0.000103518,0.000103518,0.000103518
130,382.237,0.61077,0.58674,0.87752,0.89128,0.87791,0.90159,0.75672,0.70235,0.62567,0.92271,9.91162e-05,9.91162e-05,9.91162e-05
131,385.149,0.66483,0.61563,0.87928,0.88753,0.88013,0.90073,0.75449,0.71264,0.63755,0.92588,9.4714e-05,9.4714e-05,9.4714e-05
132,388.076,0.64042,0.59068,0.87024,0.89183,0.87977,0.89407,0.74772,0.72018,0.63285,0.93149,9.03118e-05,9.03118e-05,9.03118e-05
133,391.044,0.65967,0.60518,0.88865,0.89247,0.88034,0.89683,0.75564,0.71045,0.62354,0.92921,8.59096e-05,8.59096e-05,8.59096e-05
134,393.996,0.64744,0.5822,0.87737,0.88572,0.87358,0.89911,0.75948,0.70524,0.6165,0.92401,8.15074e-05,8.15074e-05,8.15074e-05
135,396.944,0.66991,0.59979,0.87993,0.88292,0.87605,0.89944,0.76054,0.70075,0.61322,0.92287,7.71052e-05,7.71052e-05,7.71052e-05
136,399.925,0.64617,0.58322,0.87206,0.8798,0.87826,0.89972,0.76133,0.70139,0.61048,0.92443,7.2703e-05,7.2703e-05,7.2703e-05
137,402.94,0.62969,0.58796,0.87846,0.87931,0.87804,0.89913,0.75903,0.70248,0.61098,0.92541,6.83008e-05,6.83008e-05,6.83008e-05
138,405.849,0.65672,0.58913,0.87856,0.88148,0.87783,0.89775,0.75905,0.69426,0.60895,0.92179,6.38986e-05,6.38986e-05,6.38986e-05
139,408.779,0.65207,0.5954,0.88481,0.88719,0.87315,0.89937,0.75883,0.69548,0.60754,0.92031,5.94964e-05,5.94964e-05,5.94964e-05
140,411.712,0.63454,0.58118,0.87786,0.89224,0.87305,0.89961,0.76129,0.69356,0.60685,0.91915,5.50942e-05,5.50942e-05,5.50942e-05
141,415.292,0.62494,0.64772,0.86228,0.89492,0.87234,0.90107,0.761,0.69485,0.61255,0.91998,5.0692e-05,5.0692e-05,5.0692e-05
142,418.13,0.61538,0.62525,0.85872,0.87457,0.89096,0.90139,0.76057,0.70129,0.63245,0.91954,4.62898e-05,4.62898e-05,4.62898e-05
143,420.915,0.58492,0.59703,0.85589,0.87684,0.88761,0.90005,0.75466,0.72279,0.6738,0.9265,4.18876e-05,4.18876e-05,4.18876e-05
144,423.704,0.61528,0.60823,0.86767,0.90467,0.84734,0.8982,0.74931,0.73526,0.70985,0.93155,3.74854e-05,3.74854e-05,3.74854e-05
145,426.494,0.59722,0.59211,0.86078,0.86531,0.88134,0.89948,0.75377,0.72808,0.70968,0.93077,3.30832e-05,3.30832e-05,3.30832e-05
146,429.3,0.58381,0.58158,0.85442,0.86517,0.87862,0.89788,0.75321,0.71728,0.68911,0.92801,2.8681e-05,2.8681e-05,2.8681e-05
147,432.097,0.56242,0.5658,0.8573,0.88121,0.86811,0.90101,0.75843,0.71029,0.66122,0.92615,2.42788e-05,2.42788e-05,2.42788e-05
148,434.907,0.58258,0.57503,0.85036,0.87851,0.8733,0.90199,0.75943,0.7081,0.64092,0.92627,1.98766e-05,1.98766e-05,1.98766e-05
149,437.706,0.56405,0.55632,0.8603,0.88538,0.86519,0.90213,0.75995,0.70563,0.63024,0.92678,1.54744e-05,1.54744e-05,1.54744e-05
150,440.512,0.55915,0.55726,0.85078,0.88678,0.86474,0.90118,0.75721,0.70632,0.62663,0.92713,1.10722e-05,1.10722e-05,1.10722e-05
